abandon	Le refuge recueille les chiens victimes d'abandon.	收容所收留遭遗弃的狗。
abandon	Après son abandon des études, il a appris un métier manuel.	辍学之后，他学了一门手艺。
abandon	L'abandon du projet a déçu toute l'équipe.	项目被放弃，全队都很失望。
abdomen	Le médecin palpe l'abdomen du patient avec précaution.	医生小心地按压病人的腹部。
abdomen	Il porte un bandage serré autour de l'abdomen après l'opération.	术后他的腹部缠着绷带。
abdomen	Les douleurs à l'abdomen l'ont réveillé cette nuit.	昨晚腹痛把他疼醒了。
abdominal	Le kiné lui prescrit des exercices pour les muscles abdominaux.	理疗师给他开了针对腹部肌肉的锻炼。
abdominal	Une douleur abdominale persistante nécessite une consultation rapide.	持续的腹痛需要尽快就医。
abdominal	La respiration abdominale aide à se détendre avant l'examen.	腹式呼吸有助于考前放松。
abject	Mentir à une mourante pour lui voler son argent, c'est abject.	为偷钱而对临终之人撒谎，卑劣至极。
abject	Le tribunal a décrit un comportement d'une lâcheté abjecte.	法庭认定其行为怯懦卑鄙。
abject	Ces menaces abjectes lui ont valu une condamnation ferme.	这些卑劣的威胁让他受到了严惩。
abominable	Nous avons subi un temps abominable pendant tout le séjour.	整个假期我们都被糟糕透顶的天气困扰。
abominable	Le crime a été qualifié d'abominable par le procureur.	检察官称这一罪行令人发指。
abominable	Elle se souvient de cette semaine abominable à l'hôpital.	她仍记得在医院度过的那一周，苦不堪言。
about	Le menuisier ponce l'about de la planche avant l'assemblage.	木匠在拼装前把木板的端头打磨光滑。
about	L'about de la poutre s'appuie sur le mur de pierre.	梁的末端支在石墙上。
about	Les deux abouts des câbles se rejoignent dans la boîte.	电缆的两个端头在线盒里相接。
absence	Son absence a été remarquée par tout le monde à la réunion.	他的缺席在会上被所有人都注意到了。
absence	Rien ne pousse dans cette pièce à cause de l'absence de lumière.	由于缺乏光照，这个房间里什么也长不出来。
absence	Justifie ton absence auprès du professeur dès demain matin.	最迟明天上午去向老师说明你缺席的原因。
absent	Trois élèves sont absents aujourd'hui à cause de la grippe.	今天有三名学生因流感缺课。
absent	Pendant la réunion, il avait l'air absent, le regard perdu ailleurs.	开会时他一副心不在焉的样子，目光飘向别处。
absent	Le directeur est absent toute la semaine, il revient lundi.	主任整个星期都不在，周一回来。
absorber	Les plantes absorbent l'eau par leurs racines.	植物通过根部吸收水分。
absorber	Cette éponge absorbe deux fois son poids en liquide.	这种海绵能吸收相当于自身两倍重量的液体。
absorber	Le pays a dû absorber un afflux soudain de touristes.	这个国家不得不承受游客的突然涌入。
abuser	Ne vous laissez pas abuser par ses promesses trop belles.	别被他动听的承诺蒙骗。
abuser	Il abuse de la patience de ses voisins avec ses fêtes bruyantes.	他老开吵闹的派对，滥用了邻居们的耐心。
abuser	Ce vendeur a abusé de la confiance d'une cliente âgée.	这个推销员利用一位老年顾客的信任行骗。
accent	Elle parle français avec un léger accent du sud.	她说法语带一点南方口音。
accent	Mets l'accent sur la dernière syllabe de ce mot.	这个词的重音要放在最后一个音节上。
accent	On a reconnu sa ville rien qu'à son accent.	光听口音大家就认出他来自哪座城市。
acceptable	Un retard de deux heures reste acceptable pour ce train.	这趟火车晚点两小时还算能接受。
acceptable	Propose un prix acceptable et l'affaire sera conclue.	报个能接受的价格，生意就成交。
acceptable	De telles conditions de travail ne sont plus acceptables.	这样的工作条件再也不能容忍了。
accessible	Le musée est accessible aux fauteuils roulants.	博物馆可以坐轮椅进出。
accessible	Ce roman reste accessible même pour les débutants en français.	这部小说即使是法语初学者也读得懂。
accessible	La montagne n'est accessible qu'à pied, en quatre heures de marche.	这座山只能徒步攀登，要走上四个小时。
accident	Il y a eu un grave accident sur la rocade ce matin.	今天早上环城路上发生了一起严重事故。
accident	Elle s'est cassé le poignet dans un accident de vélo.	她在一次自行车事故中摔断了手腕。
accident	Ce n'est pas ta faute, c'était vraiment un accident.	这不是你的错，那真的是个意外。
acclamation	Le candidat a été désigné par acclamation dès le premier vote.	候选人在首轮表决中即获全场欢呼通过。
acclamation	L'équipe a été accueillie par des acclamations à sa descente de l'avion.	球队下飞机时受到人群的欢呼迎接。
acclamation	Sous les acclamations du public, la chanteuse est revenue sur scène.	在观众的欢呼声中，歌手重返舞台。
accord	Nous sommes enfin d'accord sur la date de la réunion.	我们终于就会议日期达成了一致。
accord	Les deux pays ont signé un accord commercial hier.	两国昨天签署了一项贸易协定。
accord	Tout le monde est d'accord ? Alors on commence !	大家都同意了吗？那我们开始吧！
accusation	Cette accusation de vol est totalement infondée.	这起盗窃指控完全没有根据。
accusation	Il a affronté les accusations avec calme devant le juge.	在法官面前，他冷静地面对各项指控。
accusation	Une accusation sans preuve peut détruire une réputation.	没有证据的指控足以毁掉一个人的名声。
accuser	N'accuse pas ton frère sans preuve.	没有证据别怪你弟弟。
accuser	Le témoin a accusé formellement le conducteur du camion.	证人明确指认了卡车司机。
accuser	Les journalistes accusent la municipalité de négligence.	记者们指责市政府玩忽职守。
acquisition	L'acquisition du nouveau logiciel a coûté plus que prévu.	购置新软件的花费超出了预期。
acquisition	La langue s'enrichit par l'acquisition progressive du vocabulaire.	语言是通过逐步积累词汇获得的。
acquisition	Le musée a fait l'acquisition d'un tableau rare.	博物馆购得了一幅稀有的画作。
action	Passons à l'action au lieu de discuter toute la nuit.	别整晚讨论了，我们开始行动吧。
action	Sauver ce chat coincé dans l'arbre était une action courageuse.	把被困在树上的猫救下来是一种勇敢的行动。
action	Ses actions parlent beaucoup plus fort que ses promesses.	他的行动比他的承诺有力得多。
activation	L'activation de la carte se fait en ligne en deux minutes.	卡片的激活在线两分钟就能完成。
activation	L'activation du système d'alarme est automatique la nuit.	夜间警报系统会自动启动。
activation	Une simple activation du compte a suffi à débloquer les services.	只需激活账户，服务即可解锁。
adaptation	L'adaptation du roman au cinéma sortira en décembre.	这部小说的电影改编版十二月上映。
adaptation	Son adaptation à la nouvelle ville a pris un an.	适应新城市花了他一整年。
adaptation	Cette adaptation de la bande dessinée respecte l'esprit de l'original.	这部漫画改编作品保留了原作的神韵。
adapter	Il faut adapter le menu aux goûts des invités.	菜单要按客人的口味来调整。
adapter	Elle s'adapte vite à son nouvel environnement de travail.	她很快适应了新的工作环境。
adapter	Ce logement a été adapté aux personnes à mobilité réduite.	这套住房为行动不便的人做了改造。
addition	Garçon, l'addition, s'il vous plaît !	服务员，请结账！
addition	Ils ont partagé l'addition en trois parts égales.	他们把账单平均分成了三份。
addition	Vérifie ton addition avant de donner le résultat.	检查一下你的加法再写答案。
adieu	Il lui a dit adieu avant de monter dans le train.	上车前他向她道了别。
adieu	Elle a fait ses adieux à sa famille à l'aéroport.	她在机场和家人道别。
adieu	Adieu, mon ami, bon voyage et bonne chance !	别了，我的朋友，一路顺风，好运！
adjoint	Le maire a confié les dossiers culturels à son adjoint.	市长把文化方面的文件交给了副市长。
adjoint	Mon adjoint signera les bons de commande en mon absence.	我不在时，由副手签署订单。
adjoint	Elle a été nommée adjointe du directeur commercial.	她被任命为销售总监的副手。
