사랑	[sʰa̠ɾa̠ŋ]	[sʰa̠ɾa̠ŋ]	[[sʰa̠ɾa̠ŋ]] 愛 (情感)
감사합니다	[ˈka̠(ː)msʰa̠ɦa̠mnida̠]	[ˈka̠(ː)msʰa̠ɦa̠mnida̠]	[[ˈka̠(ː)msʰa̠ɦa̠mnida̠]] 感謝 (問候)
안녕하세요	[a̠nɲʌ̹ŋɦa̠sʰe̞jo]	[a̠nɲʌ̹ŋɦa̠sʰe̞jo]	[[a̠nɲʌ̹ŋɦa̠sʰe̞jo]] 你好 (問候)
죄송합니다			對不起 (表達)
네	[ne̞(ː)]	[ne̞(ː)]	[[ne̞(ː)]] 是 (基礎)
아니요	[a̠nijo]	[a̠nijo]	[[a̠nijo]] 不 (基礎)
맛있다	[ma̠ɕʰit̚t͈a̠]	[ma̠ɕʰit̚t͈a̠]	[[ma̠ɕʰit̚t͈a̠]] 美味 (食物)
물	[muɭ]	[muɭ]	[[muɭ]] 水 (食物)
친구	[t͡ɕʰinɡu]	[t͡ɕʰinɡu]	[[t͡ɕʰinɡu]] 朋友 (人際關係)
가족	[ka̠d͡ʑo̞k̚]	[ka̠d͡ʑo̞k̚]	[[ka̠d͡ʑo̞k̚]] Family (關係)
귀엽다	[ˈkɥi(ː)jʌ̹p̚t͈a̠]	[ˈkɥi(ː)jʌ̹p̚t͈a̠]	[[ˈkɥi(ː)jʌ̹p̚t͈a̠]] Cute (描述)
행복하다	[ˈhɛ(ː)ŋbo̞kʰa̠da̠]	[ˈhɛ(ː)ŋbo̞kʰa̠da̠]	[[ˈhɛ(ː)ŋbo̞kʰa̠da̠]] Happy (情感)
슬프다	[sʰɯɭpʰɯda̠]	[sʰɯɭpʰɯda̠]	[[sʰɯɭpʰɯda̠]] Sad (情感)
배고프다	[pɛɡo̞pʰɯda̠]	[pɛɡo̞pʰɯda̠]	[[pɛɡo̞pʰɯda̠]] 餓 (日常生活)
피곤하다	[pʰiɡo̞nɦa̠da̠]	[pʰiɡo̞nɦa̠da̠]	[[pʰiɡo̞nɦa̠da̠]] 累 (日常生活)
커피	[kʰʌ̹pʰi]	[kʰʌ̹pʰi]	[[kʰʌ̹pʰi]] 咖啡 (飲食)
밥	[pa̠p̚]	[pa̠p̚]	[[pa̠p̚]] 飯 (飲食)
학교	[ha̠k̚k͈jo]	[ha̠k̚k͈jo]	[[ha̠k̚k͈jo]] 學校 (教育)
선생님	[sʰʌ̹nsʰɛŋnim]	[sʰʌ̹nsʰɛŋnim]	[[sʰʌ̹nsʰɛŋnim]] 老師 (教育)
학생	[ha̠ks͈ɛŋ]	[ha̠ks͈ɛŋ]	[[ha̠ks͈ɛŋ]] 學生 (教育)
책	[t͡ɕʰɛk̚]	[t͡ɕʰɛk̚]	[[t͡ɕʰɛk̚]] 書 (教育)
병원	[ˈpjɘ(ː)ŋwʌ̹n]	[ˈpjɘ(ː)ŋwʌ̹n]	[[ˈpjɘ(ː)ŋwʌ̹n]] 醫院 (日常生活)
돈	[to̞(ː)n]	[to̞(ː)n]	[[to̞(ː)n]] Money (日常生活)
날씨	[na̠ɭɕ͈i]	[na̠ɭɕ͈i]	[[na̠ɭɕ͈i]] Weather (日常生活)
기차	[kit͡ɕʰa̠]	[kit͡ɕʰa̠]	[[kit͡ɕʰa̠]] Train (旅行)
공항	[ko̞ŋɦa̠ŋ]	[ko̞ŋɦa̠ŋ]	[[ko̞ŋɦa̠ŋ]] Airport (旅行)
