ich	例句：An der Tafel stand der Begriff ich.（他们在黑板上写下了我这个词。）
ich	例句：In diesem Satz finde ich die genaue Bedeutung von ich nicht.（在这个句子里，我找不到我的确切意思。）
ich	例句：Das Wörterbuch zählt ich zu den häufigsten Anfragen.（词典把我列为查询最多的词条之一。）
sie	例句：In diesem Satz finde ich die genaue Bedeutung von sie nicht.（在这个句子里，我找不到她的确切意思。）
sie	例句：Das Wörterbuch zählt sie zu den häufigsten Anfragen.（词典把她列为查询最多的词条之一。）
sie	例句：Wie übersetzt man sie ins Chinesische?（她用中文怎么说？）
das	例句：Das Wörterbuch zählt das zu den häufigsten Anfragen.（词典把定冠词[中性]列为查询最多的词条之一。）
das	例句：Wie übersetzt man das ins Chinesische?（定冠词[中性]用中文怎么说？）
das	例句：Der Lehrer schrieb das an die Tafel und verlangte ein Beispiel.（老师在黑板上写下定冠词[中性]，让我们造个句子。）
sein	例句：Er versprach, bis Ende der Woche zu sein.（他答应在周末前是。）
sein	例句：Wenn etwas unklar ist, frage lieber, bevor du anfängst zu sein.（如果有不明白的地方，先问再是。）
sein	例句：Bevor du eine Entscheidung triffst, solltest du ruhig sein.（做决定之前，你应该冷静地是。）
du	例句：Der Lehrer schrieb du an die Tafel und verlangte ein Beispiel.（老师在黑板上写下你，让我们造个句子。）
du	例句：In diesem Text wird du mit einer anderen Nuance verwendet.（在这篇文章里，你的用法略有不同。）
du	例句：Wiederhole bitte das Wort du.（请再把你念一遍。）
nicht	例句：In diesem Text wird nicht mit einer anderen Nuance verwendet.（在这篇文章里，不的用法略有不同。）
nicht	例句：Wiederhole bitte das Wort nicht.（请再把不念一遍。）
nicht	例句：Unterstreiche das Wort nicht in der dritten Zeile.（请在第三行标出不这个词。）
die	例句：Wiederhole bitte das Wort die.（请再把定冠词[阴性、复数]念一遍。）
die	例句：Unterstreiche das Wort die in der dritten Zeile.（请在第三行标出定冠词[阴性、复数]这个词。）
die	例句：Der Gebrauch von die variiert stark zwischen Ländern.（定冠词[阴性、复数]的用法在不同国家差别很大。）
es	例句：Unterstreiche das Wort es in der dritten Zeile.（请在第三行标出它这个词。）
es	例句：Der Gebrauch von es variiert stark zwischen Ländern.（它的用法在不同国家差别很大。）
es	例句：Es fällt mir schwer, es von ähnlichen Wörtern zu unterscheiden.（我很难把它和相近的词区分开。）
und	例句：Der Gebrauch von und variiert stark zwischen Ländern.（和的用法在不同国家差别很大。）
und	例句：Es fällt mir schwer, und von ähnlichen Wörtern zu unterscheiden.（我很难把和和相近的词区分开。）
und	例句：Dieses Kapitel erklärt, wann man und verwendet.（这一章讲解什么时候用和。）
der	例句：Es fällt mir schwer, der von ähnlichen Wörtern zu unterscheiden.（我很难把定冠词[阳性]和相近的词区分开。）
der	例句：Dieses Kapitel erklärt, wann man der verwendet.（这一章讲解什么时候用定冠词[阳性]。）
der	例句：Das Wort der erscheint in diesem Dialog mehrmals.（在这段对话里，定冠词[阳性]这个词出现了好几次。）
