abaisser	[abese]		降低；放下〈v.〉
abandon	[abɑ̃dɔ̃]		放弃；抛弃〈n.m.〉
abandonner	[abɑ̃done]		放弃；抛弃〈v.〉
abandonné	[abɑ̃done]		被抛弃的；荒废的〈adj.〉
abattoir	[abatwaʁ]		屠宰场〈n.m.〉
abattre	[abatʁ]		击倒；砍倒；宰杀〈v.〉
abattu	[abaty]		沮丧的；垂头丧气的〈adj.〉
abbaye	[abei]		修道院〈n.f.〉
abbé	[abe]		神父；修道院长〈n.m.〉
abdomen	[abdomɛn]		腹部〈n.m.〉
abdominal	[abdominal]		腹部的〈adj.〉
abeille	[abɛj]		蜜蜂〈n.f.〉
abject	[abʒɛkt]		卑劣的；可鄙的〈adj.〉
abolir	[aboliʁ]		废除〈v.〉
abominable	[abominabl]		可憎的；恶劣的〈adj.〉
abondance	[abɔ̃dɑ̃s]		丰富；大量〈n.f.〉
abonnement	[abɔnəmɑ̃]		订阅；定期票〈n.m.〉
abord	[abɔʁ]		接近；四周（习语）〈n.m.〉
aborder	[abɔʁde]		着手处理；接近〈v.〉
about	[abu]		端头；末端〈n.m.〉
aboutir	[abutiʁ]		通向；达成〈v.〉
aboyer	[abwaje]		吠叫〈v.〉
abri	[abʁi]		躲避处；庇护〈n.m.〉
abriter	[abʁite]		掩蔽；庇护〈v.〉
abruti	[abʁyti]		蠢货（粗俗）〈n.m.〉
abrutir	[abʁytiʁ]		使迟钝；使麻木〈v.〉
abréger	[abʁeʒe]		缩短；节略〈v.〉
absence	[apsɑ̃s]		缺席；缺乏〈n.f.〉
absent	[apsɑ̃]		缺席的；心不在焉的〈adj.〉
absenter	[apsɑ̃te]		缺席；离开〈v.〉
absolu	[apsoly]		绝对的〈adj.〉
absolument	[apsolymɑ̃]		绝对地；当然〈adv.〉
absorber	[apsɔʁbe]		吸收；承受〈v.〉
absoudre	[apsudʁ]		赦免；宽恕〈v.〉
abstenir	[apstəniʁ]		克制；戒除；弃权〈v.〉
absurde	[apsyʁd]		荒谬的；荒唐的〈adj.〉
absurdité	[apsyʁdite]		荒谬；荒唐事〈n.f.〉
abus	[aby]		滥用；虐待〈n.m.〉
abuser	[abyze]		滥用；欺骗〈v.〉
abîme	[abim]		深渊〈n.m.〉
abîmer	[abime]		损坏；弄伤〈v.〉
académie	[akademi]		学院；研究院〈n.f.〉
accabler	[akable]		压垮；使难以承受〈v.〉
accent	[aksɑ̃]		口音；重音〈n.m.〉
acceptable	[aksɛptabl]		可接受的〈adj.〉
accepter	[aksɛpte]		接受；同意〈v.〉
accessible	[aksesibl]		可进入的；易懂的；可接近的〈adj.〉
accessoire	[akseswaʁ]		附件；配饰；次要的〈n.m.〉
accident	[aksidɑ̃]		事故；意外〈n.m.〉
accidentel	[aksidɑ̃tɛl]		偶然的；意外的〈adj.〉
accidentellement	[aksidɑ̃tɛləmɑ̃]		意外地；偶然地〈adv.〉
acclamation	[aklamasjɔ̃]		欢呼；喝彩〈n.f.〉
accommoder	[akomode]		烹制；使适应〈v.〉
accompagner	[akɔ̃paɲe]		陪伴；陪同〈v.〉
