أَنَا	例句：أَنَا طَالِبٌ فِي هَذِهِ الجَامِعَةِ.（我是这所大学的学生。）
أَنَا	例句：تَكَلَّمْنَا سَاعَاتٍ طَوِيلَةً أَمْسِ عَنْ أَنَا وَمَا حَوْلَهُ.（昨天我们围绕我聊了好几个小时。）
أَنَا	例句：بَدَا لِي أَنَّ أَفْكَارَهُمُ فِي أَنَا مُتَقَدِّمَةٌ فِعْلًا.（我觉得他们在我方面的想法确实很先进。）
أَنْتَ	例句：كَيْفَ حَالُكَ أَنْتَ اليَوْمَ؟（你今天好吗？）
أَنْتَ	例句：حِفْظُ «أَنْت» سَهْلٌ، وَلَكِنَّ اسْتِعْمَالَهُ فِي الكَلَامِ يَحْتَاجُ تَدْرِيبًا.（记住「你（男性单数）」不难，但在口语里用出来还需要练习。）
أَنْتَ	例句：مَرَّ عَلَى «أَنْت» مَرَّةً أُخْرَى وَانْتَبَهْتُ لِمَعْنَاهُ الدَّقِيقِ.（我又一次遇到「你（男性单数）」，这次注意到了它的准确含义。）
هُوَ	例句：هُوَ مُعَلِّمٌ مَاهِرٌ وَمُخْلِصٌ.（他是一位技术精湛且忠诚的老师。）
هُوَ	例句：انْعَقَدَ يَوْمَ الأَحَدِ جَلْسَةٌ لِمُنَاقَشَةِ هُو.（星期天召开了一次会议讨论他。）
هُوَ	例句：تَكَلَّمْنَا سَاعَاتٍ طَوِيلَةً أَمْسِ عَنْ هُو وَمَا حَوْلَهُ.（昨天我们围绕他聊了好几个小时。）
هِيَ	例句：هِيَ تَعْمَلُ فِي مُسْتَشْفَى المَدِينَةِ.（她在市立医院工作。）
هِيَ	例句：اشْتَرَكْتُ فِي نَشْرَةٍ شَهْرِيَّةٍ عَنْ هِي بِشَكْلٍ خَاصٍّ.（我专门订了一份关于她的月刊。）
هِيَ	例句：عَلَّمَتْنِي الجَدَّةُ أُمُورًا كَثِيرَةً عَنْ هِي.（奶奶教了我许多关于她的事情。）
