أَنَا	[{"es": "أَنَا طَالِبٌ فِي هَذِهِ الجَامِعَةِ.", "zh": "我是这所大学的学生。", "word": "أَنَا"}, {"es": "تَكَلَّمْنَا سَاعَاتٍ طَوِيلَةً أَمْسِ عَنْ أَنَا وَمَا حَوْلَهُ.", "zh": "昨天我们围绕我聊了好几个小时。", "word": "أَنَا"}, {"es": "بَدَا لِي أَنَّ أَفْكَارَهُمُ فِي أَنَا مُتَقَدِّمَةٌ فِعْلًا.", "zh": "我觉得他们在我方面的想法确实很先进。", "word": "أَنَا"}]
أَنْتَ	[{"es": "كَيْفَ حَالُكَ أَنْتَ اليَوْمَ؟", "zh": "你今天好吗？", "word": "أَنْتَ"}, {"es": "حِفْظُ «أَنْت» سَهْلٌ، وَلَكِنَّ اسْتِعْمَالَهُ فِي الكَلَامِ يَحْتَاجُ تَدْرِيبًا.", "zh": "记住「你[男性单数]」不难，但在口语里用出来还需要练习。", "word": "أَنْتَ"}, {"es": "مَرَّ عَلَى «أَنْت» مَرَّةً أُخْرَى وَانْتَبَهْتُ لِمَعْنَاهُ الدَّقِيقِ.", "zh": "我又一次遇到「你[男性单数]」，这次注意到了它的准确含义。", "word": "أَنْتَ"}]
هُوَ	[{"es": "هُوَ مُعَلِّمٌ مَاهِرٌ وَمُخْلِصٌ.", "zh": "他是一位技术精湛且忠诚的老师。", "word": "هُوَ"}, {"es": "انْعَقَدَ يَوْمَ الأَحَدِ جَلْسَةٌ لِمُنَاقَشَةِ هُو.", "zh": "星期天召开了一次会议讨论他。", "word": "هُوَ"}, {"es": "تَكَلَّمْنَا سَاعَاتٍ طَوِيلَةً أَمْسِ عَنْ هُو وَمَا حَوْلَهُ.", "zh": "昨天我们围绕他聊了好几个小时。", "word": "هُوَ"}]
هِيَ	[{"es": "هِيَ تَعْمَلُ فِي مُسْتَشْفَى المَدِينَةِ.", "zh": "她在市立医院工作。", "word": "هِيَ"}, {"es": "اشْتَرَكْتُ فِي نَشْرَةٍ شَهْرِيَّةٍ عَنْ هِي بِشَكْلٍ خَاصٍّ.", "zh": "我专门订了一份关于她的月刊。", "word": "هِيَ"}, {"es": "عَلَّمَتْنِي الجَدَّةُ أُمُورًا كَثِيرَةً عَنْ هِي.", "zh": "奶奶教了我许多关于她的事情。", "word": "هِيَ"}]
نَحْنُ	[{"es": "نَحْنُ نَتَعَلَّمُ اللُّغَةَ العَرَبِيَّةَ بِشَغَفٍ.", "zh": "我们满怀热情地学习阿拉伯语。", "word": "نَحْنُ"}, {"es": "فِي نِهَايَةِ الحَصَّةِ سَأَلَ المُدَرِّسُ عَنْ نَحْن.", "zh": "课程结束时老师问到了我们。", "word": "نَحْنُ"}, {"es": "انْعَقَدَ يَوْمَ الأَحَدِ جَلْسَةٌ لِمُنَاقَشَةِ نَحْن.", "zh": "星期天召开了一次会议讨论我们。", "word": "نَحْنُ"}]
أَنْتُمْ	[{"es": "هَلْ أَنْتُمْ مُسْتَعِدُّونَ لِلاخْتِبَارِ؟", "zh": "你们准备好参加考试了吗？", "word": "أَنْتُمْ"}, {"es": "سَتَكُونُ «أَنْتُمْ» مِنْ كَلِمَاتِ الاخْتِبَارِ النِّهَائِيِّ بِلَا شَكٍّ.", "zh": "「你们[男性/复数]」毫无疑问会出现在期末考试的词表里。", "word": "أَنْتُمْ"}, {"es": "اِسْتَطَاعَ الطَّالِبُ أَنْ يُوَظِّفَ «أَنْتُمْ» فِي سِيَاقٍ طَبِيعِيٍّ.", "zh": "这名学生能够在自然语境中运用「你们[男性/复数]」。", "word": "أَنْتُمْ"}]
هُمْ	[{"es": "هُمْ يَسْكُنُونَ فِي نَفْسِ الشَّارِعِ.", "zh": "他们住在同一条街上。", "word": "هُمْ"}, {"es": "وَرَدَ ذِكْرُ هُمْ مُرَارًا فِي مُقَدِّمَةِ الكِتَابِ.", "zh": "书的前言里多次提到他们。", "word": "هُمْ"}, {"es": "فِي نِهَايَةِ الحَصَّةِ سَأَلَ المُدَرِّسُ عَنْ هُمْ.", "zh": "课程结束时老师问到了他们。", "word": "هُمْ"}]
هَذَا	[{"es": "هَذَا كِتَابٌ مُفِيدٌ جِدًّا.", "zh": "这是一本非常有用的书。", "word": "هَذَا"}, {"es": "حَذَّرَنَا الأُسْتَاذُ مِنِ الخَلَطِ بَيْنَ «هَذَا» وَمَا يُشْبِهُهَا.", "zh": "老师提醒我们不要把「这个[阳性]」和近义词弄混。", "word": "هَذَا"}, {"es": "سَتَكُونُ «هَذَا» مِنْ كَلِمَاتِ الاخْتِبَارِ النِّهَائِيِّ بِلَا شَكٍّ.", "zh": "「这个[阳性]」毫无疑问会出现在期末考试的词表里。", "word": "هَذَا"}]
هَذِهِ	[{"es": "هَذِهِ مَدِينَةٌ قَدِيمَةٌ وَجَمِيلَةٌ.", "zh": "这是一座古老而美丽的城市。", "word": "هَذِهِ"}, {"es": "اِسْتَعْمَلَ المُحَاضِرُ «هَذِه» فِي جُمْلَةٍ وَاحِدَةٍ مُفِيدَةٍ.", "zh": "主讲人在一句很有用的话里用到了「这个[阴性/非理智复数]」。", "word": "هَذِهِ"}, {"es": "قَامُوسِي الجَدِيدُ يَضَعُ «هَذِه» بَيْنَ الكَلِمَاتِ الأَكْثَرُ اسْتِعْمَالًا.", "zh": "我的新词典把「这个[阴性/非理智复数]」列入最常用词。", "word": "هَذِهِ"}]
ذَلِكَ	[{"es": "ذَلِكَ البَيْتُ يَبْدُو هَادِئًا.", "zh": "那座房子看起来很安静。", "word": "ذَلِكَ"}, {"es": "سَجَّلْتُ فِي دَفْتَرِي «ذَلِك» مَعَ شَرْحٍ مُخْتَصَرٍ بِالصِّينِيَّةِ.", "zh": "我在本子上记下「那个[阳性]」并附上简短的中文说明。", "word": "ذَلِكَ"}, {"es": "حَذَّرَنَا الأُسْتَاذُ مِنِ الخَلَطِ بَيْنَ «ذَلِك» وَمَا يُشْبِهُهَا.", "zh": "老师提醒我们不要把「那个[阳性]」和近义词弄混。", "word": "ذَلِكَ"}]
تِلْكَ	[{"es": "تِلْكَ الطَّالِبَةُ تَجْتَهِدُ كَثِيرًا.", "zh": "那位女学生学习非常用功。", "word": "تِلْكَ"}, {"es": "لَاحَظْتُ أَنَّ «تِلْك» تَتَكَرَّرُ فِي هَذَا الفَصْلِ كَثِيرًا.", "zh": "我注意到「那个[阴性]」在这一章里反复出现。", "word": "تِلْكَ"}, {"es": "اِسْتَعْمَلَ المُحَاضِرُ «تِلْك» فِي جُمْلَةٍ وَاحِدَةٍ مُفِيدَةٍ.", "zh": "主讲人在一句很有用的话里用到了「那个[阴性]」。", "word": "تِلْكَ"}]
هُنَا	[{"es": "اجْلِسْ هُنَا قُرْبَ النَّافِذَةِ.", "zh": "坐在窗户旁边的这里。", "word": "هُنَا"}, {"es": "يَتَكَلَّمُ الدَّرْسُ الجَدِيدُ عَنْ حَالَاتِ اسْتِعْمَالِ «هُنَا».", "zh": "新课讲的是「这里」的使用场合。", "word": "هُنَا"}, {"es": "سَجَّلْتُ فِي دَفْتَرِي «هُنَا» مَعَ شَرْحٍ مُخْتَصَرٍ بِالصِّينِيَّةِ.", "zh": "我在本子上记下「这里」并附上简短的中文说明。", "word": "هُنَا"}]
هُنَاكَ	[{"es": "هُنَاكَ مَكْتَبَةٌ كَبِيرَةٌ فِي الحَيِّ.", "zh": "社区里有一座大图书馆。", "word": "هُنَاكَ"}, {"es": "كَتَبَ المُدَرِّسُ «هُنَاك» عَلَى اللَّوْحِ وَطَلَبَ مِنَّا أَمْثِلَةً.", "zh": "老师把「那里」写在黑板上，让我们举例。", "word": "هُنَاكَ"}, {"es": "لَاحَظْتُ أَنَّ «هُنَاك» تَتَكَرَّرُ فِي هَذَا الفَصْلِ كَثِيرًا.", "zh": "我注意到「那里」在这一章里反复出现。", "word": "هُنَاكَ"}]
كِتَابٌ	[{"es": "قَرَأْتُ كِتَابًا مُمْتِعًا عَنِ التَّارِيخِ.", "zh": "我读了一本关于历史的有趣的书。", "word": "كِتَابٌ"}, {"es": "لَاحَظْتُ تَطَوُّرًا كَبِيرًا فِي كِتَاب بَعْدَ سَنَةٍ مِنَ التَّدْرِيبِ.", "zh": "经过一年训练，我注意到书有了很大进步。", "word": "كِتَابٌ"}, {"es": "قَابَلْنَا خُبَرَاءَ يَضْعُونَ خِبْرَةَ عِشْرِينَ عَامًا فِي كِتَاب.", "zh": "我们见到了在书方面有二十年经验的专家。", "word": "كِتَابٌ"}]
قَلَمٌ	[{"es": "اشْتَرَيْتُ قَلَمًا جَدِيدًا مِنَ المَكْتَبَةِ.", "zh": "我从文具店买了一支新笔。", "word": "قَلَمٌ"}, {"es": "أَمْسَكْتُ دَفْتَرًا خَاصًّا لِتَدْوِينِ مُلَاحَظَاتِي عَنْ قَلَم.", "zh": "我专门准备了一个本子记录关于笔的笔记。", "word": "قَلَمٌ"}, {"es": "تَتَحَدَّثُ الأَخْبَارُ اليَوْمَ عَنْ قَلَم بِالتَّفْصِيلِ.", "zh": "今天的新闻详细谈到了笔。", "word": "قَلَمٌ"}]
مَدْرَسَةٌ	[{"es": "تَذْهَبُ البِنْتُ إِلَى المَدْرَسَةِ صَبَاحًا.", "zh": "小女孩早晨去学校。", "word": "مَدْرَسَةٌ"}, {"es": "خَبَّرَنِي جَارِي بِأَنَّ المَعْرَضَ سَيَتَنَاوَلُ مَدْرَسَة أَيْضًا.", "zh": "邻居告诉我展览也会涉及学校。", "word": "مَدْرَسَةٌ"}, {"es": "لَاحَظْتُ تَطَوُّرًا كَبِيرًا فِي مَدْرَسَة بَعْدَ سَنَةٍ مِنَ التَّدْرِيبِ.", "zh": "经过一年训练，我注意到学校有了很大进步。", "word": "مَدْرَسَةٌ"}]
جَامِعَةٌ	[{"es": "تَخَرَّجَ أَخِي مِنَ الجَامِعَةِ هَذَا العَامَ.", "zh": "我哥哥今年大学毕业。", "word": "جَامِعَةٌ"}, {"es": "لَا بُدَّ لِدَارِسِ جَامِعَة مِنَ الصَّبْرِ وَالصِّدْقِ.", "zh": "学习大学的人必须有耐心和恒心。", "word": "جَامِعَةٌ"}, {"es": "أَمْسَكْتُ دَفْتَرًا خَاصًّا لِتَدْوِينِ مُلَاحَظَاتِي عَنْ جَامِعَة.", "zh": "我专门准备了一个本子记录关于大学的笔记。", "word": "جَامِعَةٌ"}]
أُسْتَاذٌ	[{"es": "أَلْقَى الأُسْتَاذُ مُحَاضَرَةً قَيِّمَةً.", "zh": "教授作了一场很有价值的讲座。", "word": "أُسْتَاذٌ"}, {"es": "ذَكَرَ لِي زَمِيلِي أَنَّ «أُسْتَاذ» لَهَا مَعْنَيَانِ مُخْتَلِفَانِ.", "zh": "同事告诉我「教授」有两个不同的意思。", "word": "أُسْتَاذٌ"}, {"es": "تَمَارِينُ اليَوْمِ تَتَعَلَّقُ بِتَمْيِيزِ «أُسْتَاذ» عَنِ كَلِمَاتٍ مُجَاوِرَةٍ.", "zh": "今天的练习是辨析「教授」和相邻的词。", "word": "أُسْتَاذٌ"}]
طَالِبٌ	[{"es": "هُوَ طَالِبٌ نَشِيطٌ فِي الصَّفِّ.", "zh": "他是班上很活跃的学生。", "word": "طَالِبٌ"}, {"es": "لَمْ أَتَوَقَّعْ أَنْ أَجِدَ هَذَا الكَمَّ مِنَ المَعْلُومَاتِ عَنْ طَالِب.", "zh": "没想到我能找到这么多关于学生[男]的资料。", "word": "طَالِبٌ"}, {"es": "لَا بُدَّ لِدَارِسِ طَالِب مِنَ الصَّبْرِ وَالصِّدْقِ.", "zh": "学习学生[男]的人必须有耐心和恒心。", "word": "طَالِبٌ"}]
طَالِبَةٌ	[{"es": "فَازَتِ الطَّالِبَةُ بِالمَرْكَزِ الأَوَّلِ.", "zh": "这位女学生获得了一等奖。", "word": "طَالِبَةٌ"}, {"es": "اخْتَارَ الأُسْتَاذُ مَوْضُوعَ بَحْثٍ قَرِيبًا مِنْ طَالِبَة.", "zh": "老师选了一个与学生[女]相近的研究题目。", "word": "طَالِبَةٌ"}, {"es": "وَجَدْنَا فِي المُتْحَفِ قِطَعًا نَادِرَةً ذَكَرَتْ طَالِبَة.", "zh": "我们在博物馆找到了提到学生[女]的珍品。", "word": "طَالِبَةٌ"}]
بَيْتٌ	[{"es": "بَيْتُنَا يَقَعُ فِي وَسَطِ العَاصِمَةِ.", "zh": "我们的家位于首都中心。", "word": "بَيْتٌ"}, {"es": "شَرَحَ لِي زَمِيلِي النِّقَاطَ الدَّقِيقَةَ فِي بَيْت.", "zh": "同事给我讲解了房屋中的细微要点。", "word": "بَيْتٌ"}, {"es": "لَمْ أَتَوَقَّعْ أَنْ أَجِدَ هَذَا الكَمَّ مِنَ المَعْلُومَاتِ عَنْ بَيْت.", "zh": "没想到我能找到这么多关于房屋的资料。", "word": "بَيْتٌ"}]
غُرْفَةٌ	[{"es": "غُرْفَةُ الجُلُوسِ مُرَتَّبَةٌ وَمُضِيئَةٌ.", "zh": "客厅整齐明亮。", "word": "غُرْفَةٌ"}, {"es": "يَهْتَمُّ أَخِي بِجَمْعِ المَعْلُومَاتِ عَنْ غُرْفَة مُنْذُ سِنِينَ.", "zh": "我哥哥多年来一直热衷于收集关于房间的资料。", "word": "غُرْفَةٌ"}, {"es": "اخْتَارَ الأُسْتَاذُ مَوْضُوعَ بَحْثٍ قَرِيبًا مِنْ غُرْفَة.", "zh": "老师选了一个与房间相近的研究题目。", "word": "غُرْفَةٌ"}]
بَابٌ	[{"es": "أَغْلِقِ البَابَ عِنْدَ الخُرُوجِ.", "zh": "出去时请把门关上。", "word": "بَابٌ"}, {"es": "قَرَأْتُ فِي الجَرِيدَةِ تَقْرِيرًا مُفَصَّلًا عَنْ بَاب.", "zh": "我在报纸上读到了一篇关于门的详细报道。", "word": "بَابٌ"}, {"es": "شَرَحَ لِي زَمِيلِي النِّقَاطَ الدَّقِيقَةَ فِي بَاب.", "zh": "同事给我讲解了门中的细微要点。", "word": "بَابٌ"}]
نَافِذَةٌ	[{"es": "فَتَحْتُ النَّافِذَةَ لِتَجْدِيدِ الهَوَاءِ.", "zh": "我打开窗户换气。", "word": "نَافِذَةٌ"}, {"es": "مُلْخَصُ الدَّرْسِ يُبَيِّنُ أَهَمَّ النِّقَاطِ حَوْلَ نَافِذَة.", "zh": "课程小结说明了围绕窗户的要点。", "word": "نَافِذَةٌ"}, {"es": "يَهْتَمُّ أَخِي بِجَمْعِ المَعْلُومَاتِ عَنْ نَافِذَة مُنْذُ سِنِينَ.", "zh": "我哥哥多年来一直热衷于收集关于窗户的资料。", "word": "نَافِذَةٌ"}]
مَاءٌ	[{"es": "اشْرَبْ كُوبًا مِنَ المَاءِ النَّقِيِّ.", "zh": "喝一杯纯净水。", "word": "مَاءٌ"}, {"es": "لَا أَزَالُ أَتَذَكَّرُ مَا سَمِعْتُهُ صِغَرًا عَنْ مَاء.", "zh": "我仍然记得小时候听过的关于水的事。", "word": "مَاءٌ"}, {"es": "قَرَأْتُ فِي الجَرِيدَةِ تَقْرِيرًا مُفَصَّلًا عَنْ مَاء.", "zh": "我在报纸上读到了一篇关于水的详细报道。", "word": "مَاءٌ"}]
طَعَامٌ	[{"es": "هَذَا الطَّعَامُ لَذِيذٌ جِدًّا وَصِحِّيٌّ.", "zh": "这个食物非常美味且健康。", "word": "طَعَامٌ"}, {"es": "هَلْ زُرْتَ المَعْرِضَ الجَدِيدَ عَنْ طَعَام فِي وَسَطِ المَدِينَةِ؟", "zh": "你去过市中心那个关于食物的新展览吗？", "word": "طَعَامٌ"}, {"es": "مُلْخَصُ الدَّرْسِ يُبَيِّنُ أَهَمَّ النِّقَاطِ حَوْلَ طَعَام.", "zh": "课程小结说明了围绕食物的要点。", "word": "طَعَامٌ"}]
شَايٌ	[{"es": "يُفَضِّلُ شُرْبَ الشَّايِ فِي الصَّبَاحِ.", "zh": "他喜欢在早晨喝茶。", "word": "شَايٌ"}, {"es": "أَخْبَرَنِي صَدِيقِي مَا لَا يَعْرِفُهُ كَثِيرُ النَّاسِ عَنْ شَاي.", "zh": "朋友告诉了我许多人不了解的关于茶的事。", "word": "شَايٌ"}, {"es": "لَا أَزَالُ أَتَذَكَّرُ مَا سَمِعْتُهُ صِغَرًا عَنْ شَاي.", "zh": "我仍然记得小时候听过的关于茶的事。", "word": "شَايٌ"}]
قَهْوَةٌ	[{"es": "تُنْتَجُ القَهْوَةُ فِي مَنَاطِقَ اسْتِوَائِيَّةٍ.", "zh": "咖啡生产于热带地区。", "word": "قَهْوَةٌ"}, {"es": "حَضَرْتُ مُحَاضَرَةً رَائِعَةً عَنْ قَهْوَة الأَرْبِعَاءَ المَاضِي.", "zh": "上周三我听了一场关于咖啡的精彩讲座。", "word": "قَهْوَةٌ"}, {"es": "هَلْ زُرْتَ المَعْرِضَ الجَدِيدَ عَنْ قَهْوَة فِي وَسَطِ المَدِينَةِ؟", "zh": "你去过市中心那个关于咖啡的新展览吗？", "word": "قَهْوَةٌ"}]
خُبْزٌ	[{"es": "اشْتَرَى أَبِي خُبْزًا طَازَجًا مِنَ المَخْبَزِ.", "zh": "爸爸从面包店买了新鲜面包。", "word": "خُبْزٌ"}, {"es": "بَدَا لِي أَنَّ أَفْكَارَهُمُ فِي خُبْز مُتَقَدِّمَةٌ فِعْلًا.", "zh": "我觉得他们在面包方面的想法确实很先进。", "word": "خُبْزٌ"}, {"es": "أَخْبَرَنِي صَدِيقِي مَا لَا يَعْرِفُهُ كَثِيرُ النَّاسِ عَنْ خُبْز.", "zh": "朋友告诉了我许多人不了解的关于面包的事。", "word": "خُبْزٌ"}]
يَوْمٌ	[{"es": "اليَوْمُ يَوْمٌ مُشْمِسٌ وَلَطِيفٌ.", "zh": "今天是个晴朗宜人的日子。", "word": "يَوْمٌ"}, {"es": "اِشْتَرَيْتُ كِتَابًا يَشْرَحُ يَوْم بِطَرِيقَةٍ سَهْلَةٍ.", "zh": "我买了一本用简单方式讲解天的书。", "word": "يَوْمٌ"}, {"es": "حَضَرْتُ مُحَاضَرَةً رَائِعَةً عَنْ يَوْم الأَرْبِعَاءَ المَاضِي.", "zh": "上周三我听了一场关于天的精彩讲座。", "word": "يَوْمٌ"}]
