أَنَا			[’anā] 我〈代〉
أَنْتَ			[’anta] 你（男性单数）〈代〉
هُوَ			[huwa] 他〈代〉
هِيَ			[hiya] 她〈代〉
نَحْنُ			[naḥnu] 我们〈代〉
أَنْتُمْ			[’antum] 你们（男性/复数）〈代〉
هُمْ			[hum] 他们〈代〉
هَذَا			[hādhā] 这个（阳性）〈代〉
هَذِهِ			[hādhihi] 这个（阴性/非理智复数）〈代〉
ذَلِكَ			[dhālika] 那个（阳性）〈代〉
تِلْكَ			[tilka] 那个（阴性）〈代〉
هُنَا			[hunā] 这里〈副〉
هُنَاكَ			[hunāka] 那里；有，存在〈副〉
كِتَابٌ			[kitāb] 书，书籍〈名〉
قَلَمٌ			[qalam] 笔〈名〉
مَدْرَسَةٌ			[madrasah] 学校〈名〉
جَامِعَةٌ			[jāmi‘ah] 大学〈名〉
أُسْتَاذٌ			[’ustādh] 教授，老师，先生〈名〉
طَالِبٌ			[ṭālib] 学生（男）〈名〉
طَالِبَةٌ			[ṭālibah] 学生（女）〈名〉
بَيْتٌ			[bayt] 房屋，家〈名〉
غُرْفَةٌ			[ghurfah] 房间〈名〉
بَابٌ			[bāb] 门〈名〉
نَافِذَةٌ			[nāfidhah] 窗户〈名〉
مَاءٌ			[mā’] 水〈名〉
طَعَامٌ			[ṭa‘ām] 食物〈名〉
شَايٌ			[shāy] 茶〈名〉
قَهْوَةٌ			[qahwah] 咖啡〈名〉
خُبْزٌ			[khubz] 面包〈名〉
يَوْمٌ			[yawm] 天，日子〈名〉
أُسْبُوعٌ			[’usbū‘] 周，星期〈名〉
شَهْرٌ			[shahr] 月，月份〈名〉
سَنَةٌ			[sanah] 年，岁〈名〉
صَبَاحٌ			[ṣabāḥ] 早晨，上午〈名〉
مَسَاءٌ			[masā’] 傍晚，晚上〈名〉
وَقْتٌ			[waqt] 时间〈名〉
سَاعَةٌ			[sā‘ah] 小时；钟表〈名〉
أَبٌ			[’ab] 父亲〈名〉
أُمٌّ			[’umm] 母亲〈名〉
أَخٌ			[’akh] 兄弟，哥哥，弟弟〈名〉
أُخْتٌ			[’ukht] 姐妹，姐姐，妹妹〈名〉
وَلَدٌ			[walad] 男孩，孩子〈名〉
بِنْتٌ			[bint] 女孩，女儿〈名〉
رَجُلٌ			[rajul] 男人，成年男子〈名〉
امْرَأَةٌ			[imra’ah] 女人，妇女〈名〉
صَدِيقٌ			[ṣadīq] 朋友〈名〉
مَدِينَةٌ			[madīnah] 城市〈名〉
بَلَدٌ			[balad] 国家，城镇〈名〉
شَارِعٌ			[shāri‘] 街道，马路〈名〉
