一擔擔	[jat1 daam1 daam1]		[jat1 daam1 daam1] 半斤八两，彼此差不多（多含贬义）〈熟语〉
一陣	[jat1 zan6]		[jat1 zan6] 一会儿，一阵子〈名/副〉
一頭霧水	[jat1 tau4 mou6 seoi2]		[jat1 tau4 mou6 seoi2] 一头雾水，摸不着头脑，完全困惑〈形〉
一齊	[jat1 cai4]		[jat1 cai4] 一起，一同〈副〉
七國咁亂	[cat1 gwok3 gam3 lyun6]		[cat1 gwok3 gam3 lyun6] 乱七八糟，像战国七雄一样极其混乱〈熟语〉
上車	[soeng5 ce1]		[soeng5 ce1] 上车〈动〉
下晝	[haa6 zau3]		[haa6 zau3] 下午〈名〉
乾炒牛河	[gon1 caau2 ngau4 ho2]		[gon1 caau2 ngau4 ho2] 干炒牛河（考验粤菜厨师镬气的经典炒河粉）〈名〉
亂龍	[lyun6 lung4]		[lyun6 lung4] 乱套，混乱，杂乱无章〈形/动〉
人哋	[jan4 dei6]		[jan4 dei6] 人家，别人〈代〉
人工	[jan4 gung1]		[jan4 gung1] 工资，薪金，薪水〈名〉
今日	[gam1 jat6]		[gam1 jat6] 今天〈名〉
仲	[zung6]		[zung6] 还，依然，更加〈副〉
伙計	[fo2 gei3]		[fo2 gei3] 服务员，店员，伙计〈名〉
但係	[daan6 hai6]		[daan6 hai6] 但是，可是，不过〈连〉
你	[nei5]		[nei5] 你〈代〉
你哋	[nei5 dei6]		[nei5 dei6] 你们〈代〉
佢	[keoi5]		[keoi5] 他，她，它〈代〉
佢哋	[keoi5 dei6]		[keoi5 dei6] 他们，她们，它们〈代〉
係	[hai6]		[hai6] 是〈动〉
保重	[bou2 zung6]		[bou2 zung6] 保重（多用于叮嘱病患或离别祝福）〈动〉
借錢	[ze3 cin2]		[ze3 cin2] 借钱〈动〉
傷心	[soeng1 sam1]		[soeng1 sam1] 伤心，悲痛〈形〉
傾偈	[king1 gai2]		[king1 gai2] 聊天，谈天〈动〉
充電	[cung1 din6]		[cung1 din6] 充电〈动〉
先	[sin1]		[sin1] 先，才，方〈副/助〉
先生	[sin1 saang1]		[sin1 saang1] 先生，老师，丈夫〈名〉
入味	[jap6 mei6]		[jap6 mei6] 入味，调味充分渗透〈形〉
八達通	[baat3 daat6 tung1]		[baat3 daat6 tung1] 八达通（交通卡）〈名〉
其實	[kei4 sat6]		[kei4 sat6] 其实，实际上〈副〉
冇	[mou5]		[mou5] 没有，无〈动〉
冇厘頭	[mou5 lei4 tau4]		[mou5 lei4 tau4] 无厘头，莫名其妙，无缘无故〈形〉
冷氣	[laang5 hei3]		[laang5 hei3] 空调，冷气〈名〉
凍	[dung3]		[dung3] 冷，冰冷，寒凉〈形〉
凍檸茶	[dung3 ning4 caa4]		[dung3 ning4 caa4] 冰柠檬茶〈名〉
出太陽	[ceot1 taai3 joeng4]		[ceot1 taai3 joeng4] 出太阳，晴天〈动〉
出差	[ceot1 caai1]		[ceot1 caai1] 出差〈动〉
出糧	[ceot1 loeng4]		[ceot1 loeng4] 发薪水，发工资〈动〉
刷牙	[caat3 ngaa4]		[caat3 ngaa4] 刷牙〈动〉
前日	[cin4 jat6]		[cin4 jat6] 前天〈名〉
升職	[sing1 zik1]		[sing1 zik1] 升职，晋升〈动〉
卸膊	[se3 bok3]		[se3 bok3] 推卸责任，甩锅，推委责任〈动〉
叉燒包	[caa1 siu1 baau1]		[caa1 siu1 baau1] 叉烧包〈名〉
叮叮車	[ding1 ding1 ce1]		[ding1 ding1 ce1] 叮叮车（香港岛双层有轨电车）〈名〉
可以	[ho2 ji5]		[ho2 ji5] 可以，能够〈能愿〉
合約	[hap6 joek3]		[hap6 joek3] 合同，契约〈名〉
同埋	[tung4 maai4]		[tung4 maai4] 和，以及，还有〈连〉
吹水	[ceoi1 seoi2]		[ceoi1 seoi2] 闲聊，侃大山，说大话〈动〉
呢個	[ni1 go3]		[ni1 go3] 这个〈代〉
呢度	[ni1 dou6]		[ni1 dou6] 这里，这儿〈代〉
咗	[zo2]		[zo2] 了（动态助词，表示动作完成）〈助〉
咩	[me1]		[me1] 什么〈代〉
咪	[mai5]		[mai5] 别，不要；不就是〈副〉
唔使	[m4 sai2]		[m4 sai2] 不用，不必〈能愿〉
唔係	[m4 hai6]		[m4 hai6] 不是〈动〉
唔好	[m4 hou2]		[m4 hou2] 不好，不要，别〈副/形〉
唔好意思	[m4 hou2 ji3 si3]		[m4 hou2 ji3 si3] 不好意思，抱歉，打扰一下〈短语〉
唔得	[m4 dak1]		[m4 dak1] 不行，不可以〈动〉
唔忿氣	[m4 fan5 hei3]		[m4 fan5 hei3] 不服气，心有不甘〈形/动〉
唔緊要	[m4 gan2 jiu3]		[m4 gan2 jiu3] 没关系，不打紧，不要紧〈短语〉
唔該	[m4 goi1]		[m4 goi1] 劳驾，麻烦，谢谢（用于请托人或接受轻微帮助）〈叹/副〉
唔通	[m4 tung1]		[m4 tung1] 难道，莫非〈副〉
商場	[soeng1 coeng4]		[soeng1 coeng4] 购物商场〈名〉
問路	[man6 lou6]		[man6 lou6] 问路〈动〉
啖	[daam6]		[daam6] 口（量词，用于饮、食的一口）〈量〉
啫	[ze1]		[ze1] 而已，罢了（语气助词，表不过如此）〈助〉
啱	[ngaam1]		[ngaam1] 对，正确，刚好，刚刚〈形/副〉
啱啱	[ngaam1 ngaam1]		[ngaam1 ngaam1] 刚刚，刚才〈副〉
喎	[wo3]		[wo3] 啊，据说（转述或提醒语气）〈助〉
單據	[daan1 geoi3]		[daan1 geoi3] 单据，发票，凭证〈名〉
喺	[hai2]		[hai2] 在（某处），位于〈动/介〉
嗰個	[go2 go3]		[go2 go3] 那个〈代〉
嗰度	[go2 dou6]		[go2 dou6] 那里，那儿〈代〉
嘈	[cou4]		[cou4] 吵闹，喧闹，喧哗〈形/动〉
嘢	[je5]		[je5] 东西，事物〈名〉
嚿	[gau6]		[gau6] 块（量词，用于块状物）〈量〉
因為	[jan1 wai6]		[jan1 wai6] 因为〈连〉
地鐵	[dei6 tit3]		[dei6 tit3] 地铁〈名〉
埋	[maai4]		[maai4] 连同，全部一起；靠拢〈助/动〉
埋單	[maai4 daan1]		[maai4 daan1] 结账，买单〈动〉
執生	[zap1 saang1]		[zap1 saang1] 随机应变，看情况见机行事〈动〉
執笠	[zap1 lap1]		[zap1 lap1] 倒闭，关门大吉，破产结业〈动〉
塞車	[sak1 ce1]		[sak1 ce1] 堵车，交通拥堵〈动〉
增值	[zang1 zik6]		[zang1 zik6] 充值（卡内储值）〈动〉
多	[do1]		[do1] 多〈形/数〉
多謝	[do1 ze6]		[do1 ze6] 多谢，感谢（用于接收礼物、款待或厚意）〈动/叹〉
夜	[je6]		[je6] 晚，迟，夜晚〈形/名〉
夜晚	[je6 maan5]		[je6 maan5] 晚上，夜晚〈名〉
大	[daai6]		[daai6] 大〈形〉
大件事	[daai6 gin6 si6]		[daai6 gin6 si6] 出大事了，严重的问题〈名/形〉
大客	[daai6 haak3]		[daai6 haak3] 大客户，重要客户〈名〉
大家	[daai6 gaa1]		[daai6 gaa1] 大家，各位〈代〉
大懵	[daai6 mung2]		[daai6 mung2] 粗心大意，健忘，糊里糊涂〈形〉
大排檔	[daai6 paai4 dong3]		[daai6 paai4 dong3] 大排档，露天排档〈名〉
天星小輪	[tin1 sing1 siu2 leon4]		[tin1 sing1 siu2 leon4] 天星小轮（维港标志性渡轮）〈名〉
天橋	[tin1 kiu4]		[tin1 kiu4] 人行天桥，过街立交桥〈名〉
奶茶	[naai5 caa4]		[naai5 caa4] 丝袜奶茶，港式奶茶〈名〉
好	[hou2]		[hou2] 好，非常，很〈形/副〉
好似	[hou2 ci5]		[hou2 ci5] 好像，似乎〈动/副〉
好彩	[hou2 coi2]		[hou2 coi2] 幸好，幸运，走运〈副/形〉
如果	[jyu4 gwo2]		[jyu4 gwo2] 如果，假如〈连〉
婆婆	[po4 po2]		[po4 po2] 外婆，姥姥；老奶奶〈名〉
孤寒	[gu1 hon4]		[gu1 hon4] 吝啬，小气〈形〉
孭鑊	[me1 wok6]		[me1 wok6] 背锅，承担责任，为过失买单〈动〉
定	[ding6]		[ding6] 预先，提前〈助/副〉
客氣	[haak3 hei3]		[haak3 hei3] 客气，礼貌谦逊〈形/动〉
宵夜	[siu1 je2]		[siu1 je2] 夜宵，宵夜〈名〉
寫字樓	[se2 zi6 lau4]		[se2 zi6 lau4] 写字楼，办公室〈名〉
小姐	[siu2 ze2]		[siu2 ze2] 小姐，女士〈名〉
少	[siu2]		[siu2] 少〈形/数〉
屋企	[uk1 kei2]		[uk1 kei2] 家里，家〈名〉
屋企人	[uk1 kei2 jan4]		[uk1 kei2 jan4] 家人，家里人〈名〉
巴士	[baa1 si2]		[baa1 si2] 公共汽车，公交车〈名〉
巴閉	[baa1 bai3]		[baa1 bai3] 了不起，嚣张，排场大（多含讽刺调侃）〈形〉
幫	[bong1]		[bong1] 帮助，替〈动/介〉
平	[peng4]		[peng4] 便宜，平价〈形〉
幾多	[gei2 do1]		[gei2 do1] 多少〈数/代〉
幾時	[gei2 si4]		[gei2 si4] 什么时候，何时〈名/代〉
後日	[hau6 jat6]		[hau6 jat6] 后天〈名〉
得	[dak1]		[dak1] 行，可以；得到〈动/助〉
得啖笑	[dak1 daam6 siu3]		[dak1 daam6 siu3] 惹人发笑，仅博一粲，荒谬可笑〈动/形〉
得閒	[dak1 haan4]		[dak1 haan4] 有空，闲暇〈形〉
