abandon	[əˈbændən]	[əˈbændən]	(v.) 放弃；遗弃；抛弃；离弃；中止；陷入；沉湎于
abdomen	[ˈæbdəmən]	[ˈæbdəmən]	(n.) 腹部；腹腔
abdominal	[æbˈdɒmɪn(ə)l]	[æbˈdɑːmɪn(ə)l]	(adj.) 腹部的；有腹鳍的(n.) 腹部；腹肌
abject	[ˈæbdʒekt]	[ˈæbdʒekt]	(adj.) 凄惨的；卑鄙的；可怜的；自卑的
abominable	[əˈbɒmɪnəb(ə)l]	[əˈbɑːmɪnəb(ə)l]	(adj.) 可憎的；令人厌恶的；极坏的
about	[əˈbaʊt]	[əˈbaʊt]	(prep.) 关于；大约；在……周围；在……各处(adv.) 大约；周围；到处；在附近(adj.) 即将……的；四处走动的；在起作用的
absence	[ˈæbsəns]	[ˈæbsəns]	(n.) 缺席；不在场；不存在；缺乏
absent	[ˈæbsənt]	[ˈæbsənt]	(adj.) 缺席的；不在场的；心不在焉的；茫然的(v.) 缺席；不参加；不在
absorber	[əbˈsɔːbə(r)]	[əbˈsɔːrbər]	(n.) 吸收器；吸收体；减震器
abuser	[əˈbjuːzə(r)]	[əˈbjuːzər]	(n.) 施虐者；滥用者；辱骂者
accent	[ˈæksent]	[ˈæksent]	(n.) 口音；腔调；土音；重音；重音符号；强调；着重点(v.) 着重；强调；突出；重读；使带…口音
acceptable	[əkˈseptəb(ə)l]	[əkˈseptəb(ə)l]	(adj.) 可接受的；令人满意的；值得接受的；可忍受的
accessible	[əkˈsesəb(ə)l]	[əkˈsesəb(ə)l]	(adj.) 可到达的；可接近的；易进入的；易得到的；易使用的；随和的；易接近的
accident	[ˈæksɪdənt]	[ˈæksɪdənt]	(n.) 事故；意外遭遇；不测事件；意外；偶然的事
acclamation	[ˌækləˈmeɪʃ(ə)n]	[ˌækləˈmeɪʃ(ə)n]	(n.) 欢呼；喝彩；称赞；赞成；推举
accord	[əˈkɔːd]	[əˈkɔːrd]	(n.) 和谐；一致；协议；(v.) 给予；符合；一致
accusation	[ˌækjuˈzeɪʃ(ə)n]	[ˌækjuˈzeɪʃ(ə)n]	(n.) 控告；指控；谴责
accuser	[əˈkjuːzə(r)]	[əˈkjuːzər]	(n.) 原告；控告者
acquisition	[ˌækwɪˈzɪʃ(ə)n]	[ˌækwɪˈzɪʃ(ə)n]	(n.) 获得；收购；习得；获得物
action	[ˈækʃ(ə)n]	[ˈækʃ(ə)n]	(n.) 行动；行为；作用；战斗；诉讼(v.) 对…起诉；处理
activation	[ˌæktɪˈveɪʃ(ə)n]	[ˌæktɪˈveɪʃ(ə)n]	(n.) 激活；活化；激励
adaptation	[ˌædæpˈteɪʃ(ə)n]	[ˌædæpˈteɪʃ(ə)n]	(n.) 适应；改编；改写本；适应的过程
