사랑	[sʰa̠ɾa̠ŋ]	[sʰa̠ɾa̠ŋ]	爱 (情感)
감사합니다	[ˈka̠(ː)msʰa̠ɦa̠mnida̠]	[ˈka̠(ː)msʰa̠ɦa̠mnida̠]	感谢 (问候)
안녕하세요	[a̠nɲʌ̹ŋɦa̠sʰe̞jo]	[a̠nɲʌ̹ŋɦa̠sʰe̞jo]	你好 (问候)
죄송합니다	kwingutangnita	kwingutangnita	对不起 (表达)
네	[ne̞(ː)]	[ne̞(ː)]	是 (基础)
아니요	[a̠nijo]	[a̠nijo]	不 (基础)
맛있다	[ma̠ɕʰit̚t͈a̠]	[ma̠ɕʰit̚t͈a̠]	美味 (食物)
물	[muɭ]	[muɭ]	水 (食物)
친구	[t͡ɕʰinɡu]	[t͡ɕʰinɡu]	朋友 (人际关系)
가족	[ka̠d͡ʑo̞k̚]	[ka̠d͡ʑo̞k̚]	家庭 (关系)
귀엽다	[ˈkɥi(ː)jʌ̹p̚t͈a̠]	[ˈkɥi(ː)jʌ̹p̚t͈a̠]	可爱 (描述)
행복하다	[ˈhɛ(ː)ŋbo̞kʰa̠da̠]	[ˈhɛ(ː)ŋbo̞kʰa̠da̠]	开心 (情感)
슬프다	[sʰɯɭpʰɯda̠]	[sʰɯɭpʰɯda̠]	哀: (情感)
배고프다	[pɛɡo̞pʰɯda̠]	[pɛɡo̞pʰɯda̠]	饿 (日常生活)
피곤하다	[pʰiɡo̞nɦa̠da̠]	[pʰiɡo̞nɦa̠da̠]	累 (日常生活)
커피	[kʰʌ̹pʰi]	[kʰʌ̹pʰi]	咖啡 (饮食)
밥	[pa̠p̚]	[pa̠p̚]	饭 (饮食)
학교	[ha̠k̚k͈jo]	[ha̠k̚k͈jo]	学校 (教育)
선생님	[sʰʌ̹nsʰɛŋnim]	[sʰʌ̹nsʰɛŋnim]	老师 (教育)
학생	[ha̠ks͈ɛŋ]	[ha̠ks͈ɛŋ]	学生 (教育)
책	[t͡ɕʰɛk̚]	[t͡ɕʰɛk̚]	书 (教育)
병원	[ˈpjɘ(ː)ŋwʌ̹n]	[ˈpjɘ(ː)ŋwʌ̹n]	医院 (日常生活)
돈	[to̞(ː)n]	[to̞(ː)n]	金钱 (日常生活)
날씨	[na̠ɭɕ͈i]	[na̠ɭɕ͈i]	天 气 (日常生活)
기차	[kit͡ɕʰa̠]	[kit͡ɕʰa̠]	火车 (旅行)
공항	[ko̞ŋɦa̠ŋ]	[ko̞ŋɦa̠ŋ]	【2】银行 (旅行)
호텔	[ɸʷo̞tʰe̞ɭ]	[ɸʷo̞tʰe̞ɭ]	酒店 (旅行)
화장실	[ɸwa̠d͡ʑa̠ŋɕʰiɭ]	[ɸwa̠d͡ʑa̠ŋɕʰiɭ]	浴室 (旅行)
실례합니다	ngimryeangnita	ngimryeangnita	麻烦 (表达)
얼마	[ʌ̹ɭma̠]	[ʌ̹ɭma̠]	多少 (购物)
싸다	[s͈a̠da̠]	[s͈a̠da̠]	便宜 (购物)
비싸다	[pis͈a̠da̠]	[pis͈a̠da̠]	昂贵 (购物)
모르겠어요	murekelchochy	murekelchochy	我不知道 (表达)
좋아요	[ˈt͡ɕo̞(ː)a̠jo]	[ˈt͡ɕo̞(ː)a̠jo]	我喜欢 (表达)
싫어요	[ɕʰiɾʌ̹jo]	[ɕʰiɾʌ̹jo]	我不喜欢 (表达)
주세요	kingechy	kingechy	请 (基础)
잠깐만요	kangkanmanchy	kangkanmanchy	等一下 (表达)
축하합니다	pikaangnita	pikaangnita	恭喜 (表达)
일	[i(ː)ɭ]	[i(ː)ɭ]	工作 (日常生活)
음악	[ɯma̠k̚]	[ɯma̠k̚]	音乐 (娱乐)
영화	[jʌ̹ŋβwa̠]	[jʌ̹ŋβwa̠]	电影 (娱乐)
