Afghanistan	[æfˈɡænɪstæn]	[æfˈɡænɪstæn]	(n.) 阿富汗
Alabama	[ˌæləˈbæmə]	[ˌæləˈbæmə]	(n.) 阿拉巴马州（美国州名）
Alaska	[əˈlæskə]	[əˈlæskə]	(n.) 阿拉斯加（美国州名）
Allah	[ˈælə]	[ˈælə]	(n.) 安拉（伊斯兰教所信仰的创造宇宙万物的独一主宰的名称）
Amsterdam	[ˈæmstəˈdæm]	[ˈæmstərˌdæm]	(n.) 阿姆斯特丹（荷兰首都，也是荷兰最大的城市）
April	[ˈeɪprəl]	[ˈeɪprəl]	(n.) 四月
Arizona	[ˌærɪˈzəʊnə]	[ˌærɪˈzəʊnə]	(n.) 亚利桑那州（美国州名）
Atlanta	[ətˈlæntə]	[ætˈlæntə]	(n.) 亚特兰大（美国佐治亚州首府）
Auschwitz	[ˈɒʃwɪts]	[ˈɔːʃwɪts]	(n.) 奥斯威辛（波兰城市，二战时纳粹德国集中营所在地）
Bach	[bɑːk]	[bɑːk]	(n.) 巴赫（德国作曲家）
Bangkok	[bæŋˈkɔk]	[ˈbæŋˌkɑːk]	(n.) 曼谷（泰国首都）
Barcelona	[ˌbɑːsɪˈləʊnə]	[ˌbɑːrsəˈləʊnə]	(n.) 巴塞罗那（西班牙城市）
Buddha	[ˈbʊdə]	[ˈbudə]	(n.) 佛；佛陀；佛像
Cadillac	[ˈkædɪlæk]	[ˈkædɪlæk]	(n.) 凯迪拉克（汽车品牌）
Cambridge	[ˈkeɪmbrɪdʒ]	[ˈkeɪmbrɪdʒ]	(n.) 剑桥（英国城市）；坎布里奇（美国马萨诸塞州城市）
China	[ˈtʃaɪnə]	[ˈtʃaɪnə]	(n.) 中国
Chinese	[ˌtʃaɪˈniːz]	[ˌtʃaɪˈniːz]	(n.) 中国人；中文；汉语；(adj.) 中国的；中国人的；中文的
Churchill	[ˈtʃɜːtʃɪl]	[ˈtʃɜːrˌtʃɪl]	(n.) 丘吉尔（姓氏；温斯顿·丘吉尔，英国前首相）
Colorado	[ˌkɒləˈrɑːdəʊ]	[ˌkɑːləˈrædəʊ]	(n.) 科罗拉多州（美国州名）；科罗拉多河（北美洲河流）
Columbia	[kəˈlʌmbiə]	[kəˈlʌmbiə]	(n.) 哥伦比亚（美国南卡罗来纳州首府；美国密苏里州中部城市）；哥伦比亚号（航天飞机名）
