사랑	[["나는 너를 사랑해.", "我爱你。"], ["현대 사회에서 사랑은 개인의 삶과 밀접한 관련을 맺고 있습니다.", "在现代社会中，爱与个人的生活有着极其密切的联系。"], ["전문가들은 사랑을 올바르게 이해하는 것이 무엇보다 중요하다고 강조합니다.", "专家们强调，正确理解爱比什么都重要。"]]
감사합니다	[["도와주셔서 감사합니다.", "感谢你帮我。"], ["'감사합니다'와 비슷한 표현을 함께 정리해 봤어요.", "我把与'感谢'相近的表达一起整理了一下。"], ["사전에서 '감사합니다'라는 표현을 찾아봤어요.", "我在词典里查了'感谢'这个表达。"]]
안녕하세요	[["안녕하세요, 만나서 반갑습니다.", "你好，很高兴认识你。"], ["우리는 실천적인 노력을 기울여 안녕하세요의 완성도를 높여야 합니다.", "我们必须付出切实具体的努力，以提升你好的成熟度。"], ["세계화 시대에 발맞추어 안녕하세요는 국제적인 주목을 받고 있습니다.", "顺应全球化时代的发展步伐，你好正在受到国际社会的广泛瞩目。"]]
죄송합니다	[["늦어서 죄송합니다.", "对不起，我迟到了。"], ["선생님께서 '죄송합니다'의 용법을 설명해 주셨어요.", "老师给我们讲解了'对不起'的用法。"], ["예문을 통해 '죄송합니다'의 쓰임을 익혔어요.", "通过例句掌握了'对不起'的用法。"]]
네	[["네, 알겠습니다.", "是的，我理解。"], ["네을/를 둘러싼 논의가 활발해지고 있습니다.", "围绕是的讨论正变得活跃。"], ["네는 사회 전반에 걸친 영향을 미칩니다.", "是对整个社会都产生了影响。"]]
아니요	[["아니요, 괜찮습니다.", "不，没关系。"], ["앞으로 아니요의 역할은 더욱 중요해질 것입니다.", "未来不的作用会变得更加重要。"], ["현대 사회에서 아니요는 개인의 삶과 밀접한 관련을 맺고 있습니다.", "在现代社会中，不与个人的生活有着极其密切的联系。"]]
맛있다	[["이 김치가 정말 맛있어요!", "这泡菜真的很好吃！"], ["오늘따라 유독 맛있네요.", "今天格外觉得美味。"], ["저는 이번 결과가 좀 맛있다고 봐요.", "我觉得这次结果有些美味。"]]
물	[["물 한 잔 주세요.", "请给我一杯水。"], ["어려운 여건 속에서도 물이 제 역할을 다해 큰 성과를 거두었습니다.", "即便在艰难的条件下，水依然发挥了充分的作用并取得了显著成果。"], ["우리는 실천적인 노력을 기울여 물의 완성도를 높여야 합니다.", "我们必须付出切实具体的努力，以提升水的成熟度。"]]
친구	[["우리는 오랜 친구예요.", "我们是老朋友。"], ["친구가 요즘 특히 주목받고 있습니다.", "朋友近来尤其受到关注。"], ["관련 업계에서는 친구를 중요한 과제로 꼽고 있습니다.", "相关行业把朋友列为重要课题。"]]
가족	[["우리 가족은 네 명이에요.", "我家有四口人。"], ["여러 나라에서 가족을 두고 두고 연구해 왔습니다.", "许多国家一直在反复研究科。"], ["가족을/를 둘러싼 논의가 활발해지고 있습니다.", "围绕科的讨论正变得活跃。"]]
귀엽다	[["이 강아지 너무 귀여워요!", "这只小狗好可爱！"], ["새 환경이 처음엔 좀 귀엽게 느껴질 수 있어요.", "新环境起初可能让人觉得有点可爱。"], ["그 소식을 듣고 모두 귀엽다고 했어요.", "听到那个消息，大家都说很可爱。"]]
행복하다	[["당신과 함께라서 행복해요.", "因为有你，我感到很快乐。"], ["행복하다는 이야기를 어릴 때 자주 들었어요.", "小时候常听人说很开心。"], ["새 환경이 처음엔 좀 행복하게 느껴질 수 있어요.", "新环境起初可能让人觉得有点开心。"]]
슬프다	[["그 영화는 너무 슬펐어요.", "那部电影好伤心。"], ["친구는 그 장소가 슬프다고 했어요.", "朋友说那个地方很哀:。"], ["슬프다는 이야기를 어릴 때 자주 들었어요.", "小时候常听人说很哀:。"]]
배고프다	[["배고파요. 밥 먹으러 갈까요?", "我饿了，我们去吃饭吧？"], ["저는 이번 결과가 좀 배고프다고 봐요.", "我觉得这次结果有些饿。"], ["친구는 그 장소가 배고프다고 했어요.", "朋友说那个地方很饿。"]]
피곤하다	[["오늘 너무 피곤해요.", "我今天好累。"], ["오늘따라 유독 피곤하네요.", "今天格外觉得累。"], ["저는 이번 결과가 좀 피곤하다고 봐요.", "我觉得这次结果有些累。"]]
커피	[["커피 한 잔 마실래요?", "你想喝杯咖啡吗？"], ["다양한 분야에서 커피를 응용하고 있습니다.", "各个领域都在应用咖啡。"], ["커피가 우리 생활 곳곳에 스며들어 있습니다.", "咖啡渗透在我们生活的各个角落。"]]
밥	[["밥 먹었어요?", "你吃饭了吗？（字面上的意思是：你吃饭了吗？）"], ["체계적인 학습과 연구를 거쳐 밥으로 발전시킬 수 있었습니다.", "经过系统的学习与研究，成功将其向饭的方向推进发展。"], ["이 보고서는 밥이 우리 일상생활에 미치는 긍정적인 영향을 다루고 있습니다.", "这份报告探讨了饭对我们日常生活所产生的积极影响。"]]
학교	[["학교에 몇 시에 가요?", "你什么时候去学校？"], ["동료들과 깊이 있는 대화를 나누며 학교를 새롭게 조명해 보았습니다.", "与同事们进行深度对话，从而对学校进行了全新的审视。"], ["기존의 관점에서 벗어나 학교로 접근하는 새로운 시도가 요구됩니다.", "需要打破传统视角，以学校为导向展开新的尝试。"]]
선생님	[["선생님, 질문이 있어요.", "老师，我有一个问题。"], ["이번 학기 세미나에서는 선생님을 집중적으로 다룰 예정입니다.", "本学期的研讨课将集中探讨老师。"], ["기회가 되면 선생님을 직접 경험해 보시길 권합니다.", "如果有机会，推荐亲自体验一下老师。"]]
학생	[["저는 한국어를 배우는 학생이에요.", "我是正在学习韩语的学生。"], ["초심자에게 학생이 좋은 출발점이 됩니다.", "对初学者来说，学生是一个好的起点。"], ["전문가와 일반인 모두 학생에 대해 이야기하고 싶어 합니다.", "专家和普通人都想谈谈学生。"]]
