
Name              Id          CPU WS_MB
----              --          --- -----
leigod          3220 72308.484375  12.2
leigod         28508 24356.203125 170.2
powershell     47780  16080.59375 103.2
powershell     31684  16015.65625 111.4
explorer        9848    14058.125 397.2
Taskmgr        12436 13982.671875 170.3
leishenSdk      7752 10693.328125    54
VirtualBoxVM   57660  9836.796875 162.9
完美世界竞技平台       47952   8194.71875 101.8
msedgewebview2 30732      7332.25  97.1
VirtualBoxVM   48820  7265.828125   191
steamwebhelper  5220   7172.21875 679.8


