Aas	[aːs]		死肉；腐肉〈n.〉
Abbiegen	[abiːɡən]		旋转；转弯处；车削工作；车削〈n.〉
Abbild	[abɪlt]		影像；肖像；想象〈n.〉
Abbringen	[abʁɪnɡən]		劝阻；劝戒；谏诤〈n.〉
Abdruck	[abdʁʊk]		副本；摹仿；一册；复印〈n.m.〉
Abend	[aːbənt]		傍晚；晚上〈n.m.〉
Abendessen	[aːbəndəsən]		晚餐〈n.〉
Abenteuer	[aːbəntɔʏɐ]		冒险〈n.〉
Aberglaube	[aːbəʁɡlaʊbə]		迷信〈n.m.〉
Abfahrt	[abfaːʁt]		离开；出发；违背〈n.f.〉
Abfall	[abfal]		垃圾；废料；废物；下降〈n.m.〉
Abfangen	[abfanɡən]		列；线；绳〈n.〉
Abfindung	[abfɪndʊnk]		偿清〈n.f.〉
Abfluss	[abflʊs]		流出的；由河湖等流出之水流〈n.m.〉
Abgang	[abɡank]		下马；卸除卷〈n.m.〉
Abgrund	[abɡʁʊnt]		深渊；深邃；地狱〈n.m.〉
Abheben	[abhəbən]		损失；遗失；失败〈n.〉
Abhören	[abhœʁən]		拦截；截断；截住〈n.〉
Abkommen	[abkɔmən]		大会；协定；惯例〈n.〉
Abkürzung	[abkʏʁt͡sʊnk]		缩写词；缩写；缩短〈n.f.〉
Ablassen	[ablasən]		排放；放气；放出；停止〈n.〉
Ablauf	[ablaʊf]		周期；循环；自行车〈n.m.〉
Ablehnung	[ableːnʊnk]		拒绝；推却；优先决定权〈n.f.〉
Ablenkung	[ablənkʊnk]		分心〈n.f.〉
Ablenkungsmanöver	[ablənkʊnɡsmanœfɐ]		转移注意力策略；声东击西手段；牵制行动〈n.〉
Abmachung	[abmaxʊnk]		协定〈n.f.〉
Abreise	[abʁaɪzə]		离开；出发；违背〈n.f.〉
Abreisen	[abʁaɪzən]		离开；出发；背离〈n.〉
Absatz	[abzat͡s]		段落〈n.m.〉
Abschied	[abʃiːt]		告别；分歧处〈n.m.〉
Abschiedsbrief	[abʃiːdsbʁiːf]		辞别；再见〈n.m.〉
Abschleppen	[abʃləpən]		拖；拖绳；拖轮〈n.〉
Abschluss	[abʃlʊs]		结束；毕业〈n.m.〉
Abschlussfeier	[abʃlʊsfaɪɐ]		开始；毕业典礼〈n.f.〉
Abschnitt	[abʃnɪt]		章；篇；重要章节〈n.m.〉
Abschuss	[abʃʊs]		发射；船下水；下水典礼〈n.f.〉
Abseits	[abzaɪts]		小声说的话；离开〈n.〉
Absender	[abzəndɐ]		委托者；发货人；货主；寄销人〈n.m.〉
Absetzen	[abzət͡sən]		空投〈n.〉
Absicht	[abzɪçt]		意图〈n.f.〉
Absperrung	[abspəʁʊnk]		障碍；栅栏；势垒；阻片〈n.f.〉
Abspielen	[abspiːlən]		重放；重放装置；重现〈n.〉
Abstammung	[abstamʊnk]		祖先；世系；名门出身〈n.f.〉
Abstand	[abstant]		距离〈n.m.〉
Abstimmen	[abstɪmən]		投票表决；协调；调准〈n.〉
Abstimmung	[abstɪmʊnk]		投票；投票用纸；抽签〈n.f.〉
Absturz	[abstʊʁt͡s]		哗啦声；猛撞；崩溃〈n.m.〉
Abt	[abt]		男修道院院长；大寺院男住持〈n.m.〉
Abteil	[abtaɪl]		分隔间；卧车包房；防水舱隔；隔室〈n.〉
Abteilung	[abtaɪlʊnk]		部门〈n.f.〉
Abteilungsleiter	[abtaɪlʊnɡslaɪtɐ]		头；头脑；领袖〈n.m.〉
Abtreten	[abtʁətən]		取代；代位；代替〈n.〉
Abu	[aːbʊ]		阿布扎比〈n.〉
Abwaschen	[abvaʃən]		洗餐具；待洗餐具〈n.〉
Abwechslung	[abvəkslʊnk]		变化；找回的零钱；找头〈n.f.〉
Abwehr	[abveːɐ]		防卫；防卫设备；辩护〈n.f.〉
Abwerfen	[abvəʁfən]		切断；除去；切除〈n.〉
Abwesenheit	[abvəzənhaɪt]		缺席〈n.f.〉
Abzeichen	[abt͡saɪçən]		象征；徽章〈n.〉
Abzug	[abt͡suːk]		撤离〈n.m.〉
Achse	[aksə]		轴；车轴〈n.f.〉
Achterbahn	[axtəʁbaːn]		过山车〈n.f.〉
Achtung	[axtʊnk]		注意〈n.f.〉
Acker	[akɐ]		英亩〈n.m.〉
Adel	[aːdəl]		贵族；高尚；贵族阶级〈n.m.〉
Ader	[aːdɐ]		血管；静脉；矿脉〈n.f.〉
